Total Expenses,Other Expenses,Medical,Competition Guarantees,Recruiting,Game Expenses and Travel,Facilities and Equipment,Coaches Compensation,Support and Admin Compensation w/Severance,Athletic Student Aid,Total Revenues,Other Revenue,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,"NCAA/Conference Distributions, Media Rights, and Post-Season Football",Ticket Sales,Total Academic Spending (University-Wide),Total Football Spending,Total Football Coaching Salaries,Athletics Related Debt,"Annual Debt Service, Leases and Rental Fees on Athletic Facilities"
48897613.0,8587663.0,1156716.0,2514214.0,964819.0,4617191.0,7711741.0,7884261.0,7712167.0,7859854.0,51268561.0,3421533.0,3861114.0,11791138.0,8238125.0,11254514.0,871118111.0,14631191.0,2721364.0,35611111.0,3111111.0
54296113.0,7848414.0,1284295.0,3253343.0,758146.0,6591268.0,7144936.0,11213939.0,7891152.0,9311611.0,54833194.0,3156981.0,4172559.0,12146818.0,9545572.0,13341711.0,1219782111.0,18515792.0,3911762.0,43956431.0,2211111.0
53132149.0,8283974.0,1276932.0,2462411.0,676453.0,5916947.0,7979161.0,11132711.0,7116924.0,9296638.0,51892126.0,3197814.0,4626539.0,11989254.0,9561769.0,13418157.0,1244145111.0,17278227.0,3626896.0,35462111.0,2177111.0
57915546.0,7334471.0,1161431.0,3568797.0,796769.0,5618625.0,11311776.0,11641916.0,8595629.0,9886143.0,56515165.0,3129524.0,11447662.0,11195247.0,9269451.0,12139166.0,1365964111.0,18184699.0,3764934.0,36133111.0,4849111.0
57181884.0,6994947.0,1156232.0,2152911.0,723111.0,6111119.0,11326142.0,11699714.0,7864633.0,11362186.0,55294113.0,3192188.0,11816783.0,11982854.0,8911646.0,8113692.0,1451399111.0,16618519.0,3617121.0,32994111.0,4842111.0
65587913.0,7474546.0,1121391.0,2542314.0,897577.0,7245916.0,11312159.0,11717658.0,12118297.0,11168165.0,59855518.0,4137413.0,11167339.0,11265732.0,12899471.0,9159172.0,1425147111.0,24541562.0,4531989.0,29734111.0,4844111.0
65611187.0,8913452.0,1471458.0,1518634.0,1172191.0,7763248.0,11317155.0,13618615.0,8711444.0,12136191.0,65673955.0,3655318.0,9128915.0,12737532.0,21241819.0,9589992.0,1125995561.0,23582113.0,5915554.0,32315111.0,3741111.0
74553114.0,11675755.0,1595842.0,1447116.0,1118996.0,8572188.0,11223452.0,16713127.0,11514913.0,12711825.0,74729269.0,3764658.0,11148154.0,13499765.0,22958453.0,12885134.0,1169928611.0,27869848.0,7588278.0,29931111.0,3741111.0
83873516.0,11642925.0,1846329.0,1552215.0,1174263.0,9375181.0,14915136.0,17775568.0,15247469.0,11344541.0,84441141.0,3671889.0,11279135.0,14771823.0,25298111.0,11142151.0,1113892111.0,27569961.0,8328373.0,83175111.0,5121111.0
89186777.0,9935912.0,1514431.0,1174254.0,1211961.0,9158326.0,19728335.0,17167549.0,15512393.0,13913627.0,94662743.0,4171176.0,13656265.0,16661713.0,28454126.0,11899256.0,1368371641.0,27184129.0,7513685.0,151359111.0,9726111.0
